checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-21864,0.7915079289110939,0.7998236331569665,0.762832348629597,0.5692782875404235,0.5109399529042387,0.49464464019014
checkpoint-22775,0.7910041751542127,0.8033509700176367,0.7693220258976361,0.568549643713506,0.5160419937205651,0.5040314948099823
checkpoint-16398,0.7815034926029734,0.800705467372134,0.7715570338307124,0.54802654982905,0.5206043956043955,0.5072901944255122
checkpoint-20953,0.7796844317259908,0.800705467372134,0.7717190661632912,0.5489017633151045,0.5196722919937206,0.5090236670007454
checkpoint-19131,0.7868187631821101,0.8051146384479718,0.777180362706237,0.5542496463412394,0.5269819466248038,0.5146245788918664
checkpoint-15487,0.7852454066839885,0.8033509700176367,0.7744262566009639,0.5525875542054635,0.5234988226059655,0.5105503904758086
checkpoint-5466,0.7753368447725195,0.7971781305114638,0.7708048380695971,0.5377427356079552,0.5220270800627944,0.5084549234289322
checkpoint-3644,0.7937278204556337,0.7998236331569665,0.7594179324431486,0.5652277224670494,0.5156004709576139,0.4877738895070485
checkpoint-7288,0.7918538939531337,0.8068783068783069,0.7834238036707861,0.5540086460048332,0.5351255886970172,0.5221819402696893
checkpoint-4555,0.7857402243367155,0.7962962962962963,0.7500990259873648,0.5699586686428793,0.5011773940345369,0.47928325959288576
checkpoint-14576,0.7861294768885083,0.8033509700176367,0.7751585055122332,0.5522811412388609,0.5225667189952905,0.5103190213073223
checkpoint-12754,0.7817829583062559,0.800705467372134,0.7774911835861404,0.5386806868661708,0.5261970172684458,0.5131948592200813
checkpoint-2733,0.7651282516235597,0.7936507936507936,0.7595569626342864,0.5344442277428814,0.5057397959183674,0.4934206667691605
checkpoint-9110,0.7825315495319718,0.7980599647266314,0.7716060800240906,0.5422689402406765,0.5242346938775511,0.5068907616891805
checkpoint-17309,0.7899355784257893,0.8042328042328042,0.7678646165522552,0.5730410257146236,0.5107927786499215,0.502466698091097
checkpoint-29152,0.788273815506931,0.8051146384479718,0.7730719065565586,0.5633126919891626,0.5195251177394034,0.5091512330082368
checkpoint-18220,0.7796694329883969,0.7980599647266314,0.7680678113442857,0.5496000389555872,0.5158457613814756,0.5041387407373077
checkpoint-10021,0.7759250196177395,0.7998236331569665,0.7684844075048675,0.5444020530313184,0.5146683673469388,0.5031834194759444
checkpoint-10932,0.7735526613261401,0.7927689594356261,0.7611852379171404,0.5408776407809138,0.5091248037676609,0.494673678960326
checkpoint-11843,0.7737459444069141,0.798941798941799,0.7735740100798184,0.5435120845964989,0.5143249607535322,0.5122176102587497
checkpoint-911,0.79558009505973,0.6825396825396826,0.7063643767419353,0.5012007550414797,0.5491562009419152,0.4984429889124861
checkpoint-24597,0.791140648802232,0.8015873015873016,0.7645607202155975,0.5672100911071499,0.5125588697017268,0.49587136742509574
checkpoint-25508,0.7932078775433881,0.8033509700176367,0.767819978465507,0.5721878751400662,0.5141777864992151,0.501285200487184
checkpoint-28241,0.788273815506931,0.8051146384479718,0.7730719065565586,0.5633126919891626,0.5195251177394034,0.5091512330082368
checkpoint-6377,0.7635844605894275,0.7892416225749559,0.7481791459653436,0.5438411287947418,0.494701726844584,0.4815134950205717
checkpoint-20042,0.792467218246569,0.800705467372134,0.7631619748296766,0.5686685934631723,0.5131475667189953,0.4944219993999149
checkpoint-23686,0.7928750964862559,0.8015873015873016,0.766752723513454,0.5646009362381146,0.517219387755102,0.49829443869117923
checkpoint-1822,0.7898253874351021,0.8051146384479718,0.7726637127617936,0.5634230122864033,0.5195251177394035,0.5073735933487937
checkpoint-27330,0.788273815506931,0.8051146384479718,0.7730719065565586,0.5633126919891626,0.5195251177394034,0.5091512330082368
checkpoint-8199,0.778890715687892,0.7980599647266314,0.7647966447873713,0.5499082609092458,0.5158457613814758,0.5001983877515604
checkpoint-26419,0.7858985740020465,0.8024691358024691,0.7688141438506317,0.5605848896306989,0.5156985871271585,0.5033873963161224
checkpoint-13665,0.7831098118137763,0.7998236331569665,0.7707138394272458,0.5503499758303896,0.519328885400314,0.5060705739490696
