checkpoint,precision,recall,f1
checkpoint-21864,0.7043148428386771,0.7003058103975535,0.6444603292578005
checkpoint-22775,0.7086820501458506,0.7003058103975535,0.6470074554120111
checkpoint-16398,0.7106101686833682,0.6972477064220184,0.6384714397326097
checkpoint-20953,0.686758942352364,0.6880733944954128,0.6300518575462476
checkpoint-19131,0.6951788310451268,0.6987767584097859,0.6450781377061777
checkpoint-15487,0.6950314181830641,0.6957186544342507,0.6310304363769711
checkpoint-5466,0.7061737201383198,0.7018348623853211,0.6442030470901912
checkpoint-3644,0.719354320954638,0.6941896024464832,0.6476022959581994
checkpoint-7288,0.6796878562019659,0.6819571865443425,0.6194442984366354
checkpoint-4555,0.7056208481849398,0.6712538226299695,0.5985725206702881
checkpoint-14576,0.6984870468431357,0.6896024464831805,0.6266307648163001
checkpoint-12754,0.6974492064459968,0.6972477064220184,0.6382995337921544
checkpoint-2733,0.7204054074378515,0.7079510703363915,0.6527109379201999
checkpoint-9110,0.7115572810598593,0.7033639143730887,0.6616869698454584
checkpoint-17309,0.7077361745442065,0.6972477064220184,0.6374235342508697
checkpoint-29152,0.6995720547997084,0.6972477064220184,0.6400082715995259
checkpoint-18220,0.7020386873082962,0.7018348623853211,0.6478976538589202
checkpoint-10021,0.7032282891366636,0.6987767584097859,0.6423943044944241
checkpoint-10932,0.7180116056321958,0.7048929663608563,0.650466938811107
checkpoint-11843,0.7033010630539177,0.7064220183486238,0.6571990420577278
checkpoint-911,0.715439078865489,0.7048929663608563,0.7036843550734053
checkpoint-24597,0.7050522610763935,0.6987767584097859,0.6438310658778977
checkpoint-25508,0.7061370993046512,0.6972477064220184,0.6406239761116046
checkpoint-28241,0.6966591841791681,0.6972477064220184,0.6415161698440073
checkpoint-6377,0.711756763601598,0.6941896024464832,0.6229622881308274
checkpoint-20042,0.6963267441211154,0.6957186544342507,0.639702412311038
checkpoint-23686,0.7032643091284596,0.6957186544342507,0.637783596586004
checkpoint-1822,0.7203251599144934,0.6758409785932722,0.59050369272924
checkpoint-27330,0.6974041211560984,0.6957186544342507,0.637443342463057
checkpoint-8199,0.6929232663124278,0.7018348623853211,0.6441822625342424
checkpoint-26419,0.6910045306139176,0.6926605504587156,0.6350655783069669
checkpoint-13665,0.700707334425629,0.6941896024464832,0.6358696704598195
