checkpoint,precision,recall,f1
checkpoint-21864,0.7195410628427505,0.7140672782874617,0.6395503696669553
checkpoint-22775,0.7128673713649235,0.7125382262996942,0.639918805069734
checkpoint-16398,0.7197461222690581,0.7140672782874617,0.6396458732577472
checkpoint-20953,0.7068373501958055,0.7125382262996942,0.6402183401222908
checkpoint-19131,0.7218710421803097,0.7155963302752294,0.6422820858050153
checkpoint-15487,0.7035567029159411,0.7110091743119266,0.6372412069562198
checkpoint-5466,0.6763777277136747,0.7003058103975535,0.6237405905729303
checkpoint-3644,0.7148312405453842,0.7110091743119266,0.6332542395372737
checkpoint-7288,0.7210437699079215,0.7171253822629969,0.6494290123500334
checkpoint-4555,0.6827565083048361,0.7018348623853211,0.6202509970740696
checkpoint-14576,0.7113555504678009,0.7110091743119266,0.6376619554226479
checkpoint-12754,0.6835506723228771,0.7064220183486238,0.6398261927057302
checkpoint-2733,0.7211760362676981,0.7125382262996942,0.6337229382292401
checkpoint-9110,0.715392868322971,0.7186544342507645,0.6487430408531326
checkpoint-17309,0.7077057328295189,0.7048929663608563,0.6277144873518733
checkpoint-29152,0.7135981448437817,0.7171253822629969,0.6471704453257533
checkpoint-18220,0.7096013444637298,0.7140672782874617,0.6429957344481464
checkpoint-10021,0.7106029029185941,0.7110091743119266,0.6442036713369016
checkpoint-10932,0.7323921136701943,0.7125382262996942,0.6358176526749364
checkpoint-11843,0.7190974879365768,0.7155963302752294,0.6474764370700938
checkpoint-911,0.7488779538242567,0.735474006116208,0.7361985601551337
checkpoint-24597,0.7164938086494641,0.7125382262996942,0.6365255688831288
checkpoint-25508,0.7152339158393856,0.7110091743119266,0.6351735418246308
checkpoint-28241,0.7163030123246663,0.7186544342507645,0.6499954233636346
checkpoint-6377,0.6865439592342002,0.6896024464831805,0.6015353862384916
checkpoint-20042,0.7173204821559385,0.7125382262996942,0.636910622473972
checkpoint-23686,0.7192456354240334,0.7125382262996942,0.6386251207481176
checkpoint-1822,0.7028688797711111,0.6987767584097859,0.6151862809593789
checkpoint-27330,0.7163030123246663,0.7186544342507645,0.6499954233636346
checkpoint-8199,0.7081549946551934,0.7079510703363915,0.6352943209040713
checkpoint-26419,0.7154110078422005,0.7155963302752294,0.642635109450271
checkpoint-13665,0.7134752123021374,0.7079510703363915,0.6328393189141979
