checkpoint,precision,recall,f1
checkpoint-21864,0.7915079289110939,0.7998236331569665,0.762832348629597
checkpoint-22775,0.7910041751542127,0.8033509700176367,0.7693220258976361
checkpoint-16398,0.7815034926029734,0.800705467372134,0.7715570338307124
checkpoint-20953,0.7796844317259908,0.800705467372134,0.7717190661632912
checkpoint-19131,0.7868187631821101,0.8051146384479718,0.777180362706237
checkpoint-15487,0.7852454066839885,0.8033509700176367,0.7744262566009639
checkpoint-5466,0.7753368447725195,0.7971781305114638,0.7708048380695971
checkpoint-3644,0.7937278204556337,0.7998236331569665,0.7594179324431486
checkpoint-7288,0.7918538939531337,0.8068783068783069,0.7834238036707861
checkpoint-4555,0.7857402243367155,0.7962962962962963,0.7500990259873648
checkpoint-14576,0.7861294768885083,0.8033509700176367,0.7751585055122332
checkpoint-12754,0.7817829583062559,0.800705467372134,0.7774911835861404
checkpoint-2733,0.7651282516235597,0.7936507936507936,0.7595569626342864
checkpoint-9110,0.7825315495319718,0.7980599647266314,0.7716060800240906
checkpoint-17309,0.7899355784257893,0.8042328042328042,0.7678646165522552
checkpoint-29152,0.788273815506931,0.8051146384479718,0.7730719065565586
checkpoint-18220,0.7796694329883969,0.7980599647266314,0.7680678113442857
checkpoint-10021,0.7759250196177395,0.7998236331569665,0.7684844075048675
checkpoint-10932,0.7735526613261401,0.7927689594356261,0.7611852379171404
checkpoint-11843,0.7737459444069141,0.798941798941799,0.7735740100798184
checkpoint-911,0.79558009505973,0.6825396825396826,0.7063643767419353
checkpoint-24597,0.791140648802232,0.8015873015873016,0.7645607202155975
checkpoint-25508,0.7932078775433881,0.8033509700176367,0.767819978465507
checkpoint-28241,0.788273815506931,0.8051146384479718,0.7730719065565586
checkpoint-6377,0.7635844605894275,0.7892416225749559,0.7481791459653436
checkpoint-20042,0.792467218246569,0.800705467372134,0.7631619748296766
checkpoint-23686,0.7928750964862559,0.8015873015873016,0.766752723513454
checkpoint-1822,0.7898253874351021,0.8051146384479718,0.7726637127617936
checkpoint-27330,0.788273815506931,0.8051146384479718,0.7730719065565586
checkpoint-8199,0.778890715687892,0.7980599647266314,0.7647966447873713
checkpoint-26419,0.7858985740020465,0.8024691358024691,0.7688141438506317
checkpoint-13665,0.7831098118137763,0.7998236331569665,0.7707138394272458
