epochs,precision,recall,f1
checkpoint-4,0.5548387096774193,0.3334769495906937,0.4165769644779333
checkpoint-16,0.5079191698525396,0.4006893580353296,0.44797687861271673
checkpoint-31,0.5601948503827419,0.34683326152520466,0.42841937200638636
checkpoint-24,0.5634301913536499,0.34252477380439467,0.42604501607717044
checkpoint-17,0.5600873998543335,0.33132270573028866,0.41635083919870053
checkpoint-30,0.5554006968641115,0.34338647134855665,0.42438764643237487
checkpoint-20,0.5703703703703704,0.33175355450236965,0.41950422228275674
checkpoint-8,0.5619047619047619,0.3050409306333477,0.39542027366657356
checkpoint-0,0.2006566946369938,0.23696682464454977,0.2173054128802845
checkpoint-10,0.5548611111111111,0.34424816889271864,0.4248869981387928
checkpoint-7,0.5223390275952694,0.34252477380439467,0.4137392661982826
checkpoint-9,0.5008695652173913,0.37225333907798364,0.4270884824518043
checkpoint-27,0.5823723228995058,0.3046100818612667,0.4
checkpoint-6,0.47422126745435017,0.38043946574752263,0.4221850346641167
checkpoint-13,0.5142045454545454,0.3899181387333046,0.4435187454055379
checkpoint-3,0.4976717112922002,0.36837570012925464,0.42337212181232975
checkpoint-23,0.6109537299339,0.27875915553640673,0.38284023668639056
checkpoint-14,0.576530612244898,0.2921154674709177,0.38776093794681155
checkpoint-18,0.5191956124314442,0.36708315381301165,0.43008581524482586
checkpoint-11,0.5268120212139069,0.3851788022404136,0.4449975111996018
checkpoint-19,0.49534883720930234,0.36708315381301165,0.42167780252412773
checkpoint-29,0.5547112462006079,0.3145196036191297,0.40142974979378604
checkpoint-22,0.5173969072164949,0.3459715639810427,0.41466563387554867
checkpoint-5,0.5596330275229358,0.31538130116329166,0.4034169192615045
checkpoint-1,0.40425531914893614,0.31925894011202066,0.3567645642753972
checkpoint-26,0.526595744680851,0.3412322274881517,0.41411764705882353
checkpoint-15,0.5385139740967961,0.34037052994398964,0.4171066525871172
checkpoint-12,0.5581749049429657,0.3162429987074537,0.40374037403740376
checkpoint-25,0.5576131687242798,0.35028005170185267,0.43027255887801
checkpoint-21,0.5486661860129777,0.32787591555364065,0.4104638619201726
checkpoint-2,0.49764428739693756,0.36406721240844464,0.42050261259019656
checkpoint-28,0.544205495818399,0.39250323136579063,0.45607008760951195
